REJESTRACJA;MARKA;ROK_PRODUKCJI;PESEL
BAU1876;skoda;1998;46011466970
BAU3353;renault;1999;46011466970
BAU7833;skoda;1997;46021336913
BBI1850;skoda;2001;46021336913
BBI1859;daewoo;2001;46011466970
BBI5067;bmw;2003;46011466970
BHA6444;saab;1996;46022413514
ZST9106;fiat;2001;46022413514
ZSW1891;opel;1996;46030620238
ZSW5447;skoda;1991;46021119237
ZSW6686;fiat;2004;46021119237
ZSZ7098;daewoo;1994;46032445608
ZSZ7618;skoda;1998;46021119237
ZWA4456;skoda;1994;46032445608
ZWA7731;skoda;1997;46021119237
ZWA9230;renault;1997;46041442805
